scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1283.png,298.58497011886055,145.37547250675343,433.982288361722,255.454593029405,312.89525578680525,175.09683504786935,329.407123865203,166.29050540605718,336.01187109656206,155.282593353792,375.6403544847167,205.9189887942118,387.7490577422084,196.01186794717316,398.7569697944735,215.82610964125044,402.0593434101531,248.8498457980459,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_138.png,265.5612339620651,196.01186794717316,364.6324424324515,336.9131422161672,308.4920909658992,207.01977999943836,295.282596503181,205.91898879421183,319.50000301816436,203.71740638375883,300.7865525293136,243.3458897719134,336.0118710965621,230.13639530919522,332.70949748088253,256.55538423463156,325.00395904429695,327.0060213691286,356.9269039958659,198.21345035762624,496.72738705963343,299.4862412384657,409.76488184673866,238.94272495100734,408.66409064151213,220.22927446215658,439.4862443878546,210.32215361511794,437.2846619774016,246.64826338759292,467.0060245185175,236.74114254055428,455.99811246625234,264.2609226712172,372.33798086903715,295.08307641755965
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_289.png,170.89319031258472,186.10474710013455,371.2371896638106,246.64826338759292,190.707432006662,221.33006566738305,228.13433298436354,213.62452723079747,213.82404731641884,199.31424156285277,282.0731020404628,224.63243928306264,277.66993721955674,202.6166151785323,308.4920909658992,222.43085687260958,360.22927761154546,229.0356041039687,220.42879454777795,190.5079119210406,435.0830795669485,293.9822852123331,405.3617170258326,255.4545930294051,374.53956327949015,212.52373602557094,409.76488184673866,213.62452723079747,362.4308600219985,237.8419337457808,414.1680466676447,243.3458897719134,360.22927761154546,251.05142820849903,239.1422450366287,280.77279074961496
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_31.png,155.4821134394135,178.39920866354896,321.7015854286174,274.16804351825584,309.5928821711257,215.82610964125053,294.1818052979545,192.70949433149366,289.77864047704844,203.71740638375883,238.04145383140218,201.51582397330577,254.55332190979993,215.82610964125047,230.3359153948166,229.0356041039687,188.50584959620898,264.2609226712172,313.9960469920318,181.7015822792285,442.78861800353417,279.6719995443884,320.6007942233909,212.52373602557094,330.50791507042953,202.6166151785323,347.0197831488273,193.8102855367202,369.03560725335757,221.33006566738305,383.34589292130227,211.4229448203444,396.5553873840205,224.63243928306264,383.34589292130227,275.26883472348237
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_349.png,143.37341018192183,201.51582397330577,339.31424471224165,302.78861485414524,166.49002549167867,257.6561754398581,169.79239910735822,219.12848325693005,206.11850887983323,227.93481289874217,207.21930008505976,211.4229448203444,232.53749780526962,227.93481289874217,247.94857467844082,237.8419337457808,317.29842060771136,243.3458897719134,234.73908021572262,151.98021973811257,440.5870355930811,262.05934026076415,254.55332190979993,231.2371865144217,267.7628163725181,202.6166151785323,286.4762668613689,207.01977999943836,340.4150359174682,199.31424156285277,354.72532158541287,221.33006566738305,375.6403544847167,218.02769205170353,404.2609258206061,169.59287902173685
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_429.png,250.15015708889388,187.20553830536105,394.35380497356743,290.6799115966535,326.1047502495235,211.42294482034438,325.00395904429695,196.01186794717316,340.4150359174682,218.02769205170344,283.1738932456893,221.33006566738302,309.5928821711257,235.64035133532772,293.08101409272797,241.1443073614603,372.33798086903715,280.77279074961484,290.87943168227497,133.26676924926173,359.1284864063189,222.4308568726095,322.8023766338439,156.3833845590186,313.9960469920318,147.57705491720642,334.9110798913356,149.77863732765948,310.69367337635225,192.70949433149357,339.31424471224165,199.3142415628527,,,,
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_470.png,261.15806914115905,183.90316468968146,400.95855220492655,251.05142820849895,317.29842060771136,204.81819758898527,332.70949748088253,194.91107674194663,321.7015854286174,192.70949433149357,360.22927761154546,205.9189887942118,380.04351930562274,202.61661517853221,373.4387720742636,219.12848325692997,290.87943168227497,209.22136240989133,267.7628163725181,70.52167055135035,340.4150359174682,235.64035133532772,293.08101409272797,91.43670345065414,311.7944645815788,81.5295826036155,290.87943168227497,81.5295826036155,320.6007942233909,139.87151648062084,302.9881349397666,140.97230768584737,313.9960469920318,154.18180214856554,307.39129976067267,227.93481289874208
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_549.png,345.91899194360076,213.62452723079738,467.0060245185175,306.09098846982465,369.03560725335757,284.0751643652944,383.34589292130227,234.5395601301012,419.6720026937773,240.04351615623378,413.0672554624182,221.33006566738302,442.78861800353417,234.5395601301012,432.8814971564955,220.2292744621565,,,275.46835480910374,173.99604384264282,397.656178589247,258.7569666450845,382.2451017160758,211.42294482034438,367.93481604813104,182.80237348445493,375.6403544847167,192.70949433149357,334.9110798913356,200.41503276807921,353.62453038018634,210.32215361511786,330.50791507042953,219.12848325692997,296.38338770840755,252.15221941372548
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_588.png,167.59081669690516,82.63037380884205,417.4704202833243,321.50206534299593,183.0018935700764,115.6541099656375,239.1422450366287,116.75490117086403,251.2509482941204,107.94857152905192,309.5928821711257,249.95063700327242,318.39921181293784,232.3379777196482,330.50791507042953,252.15221941372548,387.7490577422084,251.05142820849895,80.62831148401042,0.07103341685336773,269.96439878297116,317.09890052208993,98.24097076763468,20.98606631615715,145.57499259237485,6.675780648212452,136.76866295056274,1.1718246220798676,162.0868606707726,159.68575817469812,175.2963551334908,150.879428532886,176.39714633871728,177.29841745832235,240.24303624185524,299.4862412384656
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_78.png,326.1047502495235,196.01186794717316,464.80444210806445,281.87358195484137,353.62453038018634,235.64035133532772,364.6324424324515,215.82610964125044,383.34589292130227,203.71740638375874,399.8577609997,231.23718651442167,430.67991474604247,223.53164807783602,429.57912354081594,249.95063700327242,339.31424471224165,237.84193374578072,214.92483852164537,176.19762625309588,410.8656730519652,227.93481289874208,241.34382744708176,226.8340216935156,262.2588603463855,201.51582397330574,251.2509482941204,193.8102855367201,305.18971735021967,200.41503276807921,295.282596503181,186.10474710013452,316.19762940248484,193.8102855367201,382.2451017160758,196.01186794717316
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_832.png,245.74699226798782,150.879428532886,384.4466841265288,248.8498457980459,320.6007942233909,166.29050540605724,306.2905085554462,162.98813179037765,323.9031678390704,177.2984174583224,278.7707284247833,203.71740638375874,301.88734373454014,211.42294482034438,290.87943168227497,226.8340216935156,365.73323363767804,235.64035133532772,334.9110798913356,150.879428532886,421.87358510423036,240.04351615623378,367.93481604813104,157.48417576424507,359.1284864063189,162.98813179037765,376.7411456899432,164.08892299560418,352.5237391749598,201.51582397330574,375.6403544847167,202.61661517853221,364.6324424324515,220.2292744621565,405.3617170258326,229.0356041039686
labeled-data,0023,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_892.png,176.3971463387173,212.5237360255709,508.8360903171251,319.3004829325429,489.0218486230478,279.6719995443883,444.99020041398717,233.43876892487467,462.60285969761145,244.44668097713983,355.7165780104168,244.84317850351584,374.14620217606983,271.3357632416421,326.920290251584,267.8802087105821,202.5203271334261,251.7542875656357,273.93512077533154,148.08765163383748,360.32398405183005,259.81724813810894,352.2610234793569,180.3394939237303,332.67954780335054,159.60616673737064,346.5017659275903,171.1246818409038,300.42770551345774,194.16171204797007,315.40177514805083,210.28763319291642,298.1240024927511,218.35059376538965,317.70547816875745,247.14688152422247
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1096.png,167.96478182282667,191.8580090272634,432.89062920408884,286.3098328762352,184.09070296777307,243.69132699316253,196.7610695816595,214.89503923432966,230.16476338190563,224.1098513171562,269.3277147339183,225.2617028275095,295.8202994720445,251.7542875656357,318.85732967911076,254.05799058634238,405.24619295560933,233.32466339998274,140.32034557434716,190.70615751691008,543.4683741980069,334.68759631107434,507.7609773770542,304.7394570418882,461.6869169629217,260.96909964846225,481.26839263892805,275.94316928305534,330.3758447826439,264.4246541795222,337.2869538447638,297.8283479797683,296.9721509823978,275.94316928305534,161.0536727607068,212.59133621362304
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1100.png,308.49066608593097,224.1098513171562,444.409144307622,341.5987053731942,353.4128749897102,311.6505661040081,361.4758355621834,252.90613907598907,416.76470805914244,255.2098420966957,344.1980629068837,252.90613907598907,392.57582634172286,236.78021793104267,,,,,271.6314177546249,199.92096959973662,368.3869446243033,293.22094193835505,353.4128749897102,222.9579998068029,303.8832600445177,214.89503923432972,339.5906568654704,205.68022715150317,291.21289343063125,257.5135451174023,302.7314085341644,242.53947548280922,,,,
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1131.png,67.75370042208837,193.0098605376167,370.6906476450099,351.96536896637406,356.8684295207701,289.7653874072951,309.6425175962843,249.4505845449291,305.03511155487104,231.02096037927606,180.63514843671314,277.0950207934086,176.02774239529987,244.84317850351584,147.23145463646702,256.36169360704895,83.87962156703477,210.28763319291642,126.49812745010738,214.89503923432966,481.26839263892805,345.0542599042542,143.7759001054071,282.8542783451752,171.42033635388663,235.6283664206893,173.72403937459325,232.17281188962937,279.6943783270981,242.53947548280922,,,320.0091811894641,303.58760553153485,453.6239563904485,325.47278422824786
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1174.png,286.605487389218,206.83207866185649,523.8868985220006,324.32093271789455,314.2499236376975,281.7024268348219,362.62768707253673,259.81724813810894,353.4128749897102,242.53947548280922,469.7498775353949,262.1209511588156,458.2313624318617,236.78021793104267,495.09061076316783,249.45058454492914,460.5350654525684,227.5654058482162,123.04257291904744,207.9839301722098,392.57582634172286,345.0542599042542,134.56108802258058,241.38762397245586,177.17959390565318,222.9579998068029,162.2055242710601,219.5024452757429,223.25365431978574,258.6653966277556,227.86106036119898,235.6283664206893,247.44253603720534,263.27280266916887,372.9943506657165,333.53574480072103
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1261.png,195.6092180713062,199.92096959973662,293.5165964513379,293.22094193835505,272.78326926497823,279.3987238141153,248.59438754755865,237.93206944139598,275.08697228568485,225.2617028275095,219.7980997887258,229.86910886892275,235.92402093367218,213.74318772397635,,,,,51.62777927714198,40.96546117097927,209.43143619554598,262.12095115881556,61.994442870321805,68.6098974194588,87.3351760980947,59.39508533663229,95.39813667056791,51.33212476415909,126.49812745010738,144.63209710277755,135.7129395329339,133.1135819992444,148.38330614682033,152.69505767525072,184.09070296777307,248.29873303457578
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_305.png,60.842591359968495,197.61726657902994,339.5906568654704,302.43575402118154,86.1833245877414,259.8172481381089,138.01664255364054,233.32466339998263,112.67590932586762,221.80614829644952,202.5203271334261,243.69132699316253,181.78699994706645,222.95799980680283,223.25365431978574,244.84317850351584,318.85732967911076,250.60243605528245,132.25738500187396,191.8580090272634,254.3536450993252,257.5135451174023,243.9869815061454,234.476514910336,215.19069374731254,218.35059376538965,212.88699072660592,211.43948470326973,165.66107880212004,211.43948470326973,,,,,,
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_342.png,90.79073062915465,198.76911808938326,353.4128749897102,309.34686308330146,161.0536727607068,277.0950207934086,123.04257291904744,224.1098513171562,167.96478182282667,235.6283664206893,165.66107880212004,220.6542967860962,192.15366354024627,258.6653966277556,208.27958468519265,264.4246541795222,328.0721417619373,274.79131777270203,150.68700916752698,195.31356355832332,291.21289343063125,265.5765056898755,278.5425268167448,233.32466339998268,248.59438754755865,209.1357816825631,245.13883301649872,225.2617028275095,192.15366354024627,214.89503923432966,199.06477260236613,237.93206944139592,,,,
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_384.png,71.8219818421983,213.62452723079744,381.14431051084927,355.62659270501786,,,102.64413558854075,237.84193374578078,131.26470692443016,222.43085687260955,125.7607508982976,273.06725231302926,159.88527826031958,254.35380182417853,174.19556392826428,274.1680435182558,355.8261127906394,341.3163070370732,160.98606946554608,211.42294482034438,279.8715196300098,319.3004829325429,227.03354177913704,309.39336208550435,216.02562972687187,247.74905459281942,246.84778347321435,286.2767467757475,221.52958575300445,233.43876892487472,252.35173949934688,256.55538423463156,,,,
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_511.png,146.67578379760138,205.9189887942118,301.88734373454014,297.28465882801265,169.79239910735822,279.6719995443884,190.707432006662,238.9427249510073,188.50584959620898,223.53164807783608,252.35173949934688,248.84984579804595,261.15806914115905,229.0356041039686,282.0731020404628,278.5712083391619,,,302.9881349397666,231.23718651442167,542.960617679147,314.8973181116369,329.407123865203,308.2925708802777,378.9427281003962,263.1601314659906,359.1284864063189,255.454593029405,470.30839813419703,264.26092267121714,458.1996948767054,242.24509856668678,492.3242222387274,259.85775785031103,484.61868380214173,219.12848325692997
labeled-data,0023,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_621.png,119.15600366693847,176.19762625309588,317.29842060771136,308.2925708802778,136.7686629505627,197.1126591523997,160.98606946554608,191.6087031262671,178.59872874917033,187.2055383053611,159.88527826031958,251.05142820849895,191.8082232118885,249.95063700327242,188.50584959620898,275.2688347234824,291.98022288750144,291.78070280188,393.2530137683409,204.81819758898527,559.4724857575449,288.4783291862004,409.76488184673866,252.15221941372542,421.8735851042303,229.0356041039686,431.780705951269,219.12848325692997,472.50998054465003,248.8498457980459,483.5178925969152,235.64035133532772,495.6265958544069,253.25301061895195,537.4566616530145,278.5712083391618
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_1018.png,396.5553873840205,107.94857152905186,567.1780241941304,277.47041713393526,527.5495408059759,134.36756045448826,518.7432111641638,129.96439563358214,538.557452858241,143.17389009630037,493.42501344395384,172.8952526374163,520.9447935746167,186.10474710013446,492.3242222387273,210.32215361511786,424.07516751468336,268.66408749212314,,,,,,,,,,,,,,,,,,
